absolute_magnitude_h,is_sentry_object,relative_velocity_km_per_second,miss_distance_astronomical,orbiting_body,n_approaches,min_miss_distance_au,max_velocity_km_s,semi_major_axis,inclination,perihelion_distance,perihelion_argument,orbit_uncertainty,minimum_orbit_intersection,data_arc_in_days,orbit_class_type,diameter_mean_km,diameter_uncertainty,perihelion_to_aphelion_ratio,threat_ratio,velocity_distance_ratio,observation_reliability,is_potentially_hazardous
21.46,0,10.8770518381,0.364559886,EARTH,79,0.0856219824,21.1487778291,1.305641653255639,21.07175614255718,1.014725358536436,226.6990402201461,0.0,0.0843248,5459.0,APO,0.2195546385,0.167724819,0.6355706410929627,0.3840720495640997,29.83611816825069,0.0,0
20.84,0,38.511147645,0.3978065032,EARTH,4,0.077908951,38.511147645,1.623098714453757,13.61185771208863,0.3500985625511254,41.71459233611091,7.0,0.0766945,23.0,APO,0.2921074388,0.2231502265999999,0.1208862606930225,0.2625557921943616,96.80874328401376,0.3043478260869565,0
19.03,0,27.454874252,0.3724873762,EARTH,33,0.271255575,33.1502668914,1.911676443137776,28.22470351557746,0.4751149910433375,135.2959304752839,2.0,0.238604,7655.0,APO,0.67226827485,0.5135672629,0.1419000100679484,0.3549237840402904,73.70685828896018,0.0002612671456564,0
18.48,0,9.153845423,0.1100917546,EARTH,18,0.0663870865,16.4922963459,1.897557421520786,12.41280906888303,1.043744362045487,193.3748492173388,0.0,0.0334547,8152.0,AMO,0.8660493037000001,0.6616027962000001,0.3793543505880814,0.0386290940447297,83.14742058802649,0.0,1
21.08,0,22.2569478768,0.258624122,EARTH,8,0.2121321299,25.8579386675,1.744120182918249,37.89320454449635,1.112286932492025,38.21196077029864,6.0,0.186255,35.0,AMO,0.26154270845,0.1998008503,0.4681434058774174,0.7121399067242855,86.05905630411381,0.1714285714285714,0
21.7,0,33.63937414,0.4825531832,EARTH,14,0.0483842244,33.63937414,2.355084748036127,7.702228416046291,0.6730652105220182,261.9107250717965,6.0,0.00703661,51.0,APO,0.1965814874499999,0.1501748933,0.1667197978836167,0.0357948761670131,69.71122626717344,0.1176470588235294,1
24.9,0,6.7806432706,0.4448684663,EARTH,2,0.0796379979,12.1317277083,1.67295730717089,14.51434433050039,0.9174654527509276,244.4403757851659,8.0,0.0785636,7.0,APO,0.04503421705,0.0344030805,0.3777989126813367,1.7445312730267617,15.241905831166347,1.1428571428571428,0
19.71,0,7.9733381481,0.1394390311,EARTH,9,0.1098493202,11.7709859792,1.693402785337345,13.63088449349198,1.057207853773991,215.7479486290419,0.0,0.109539,6799.0,AMO,0.4915216103499999,0.3754890979,0.4538156292411302,0.2228569358771429,57.1815372295713,0.0,0
18.43,0,26.2702587415,0.0603444805,EARTH,6,0.0603444805,27.0275088566,2.387091234732492,41.64283929356903,0.9199978836383262,157.1388061145037,0.0,0.0669872,5678.0,APO,0.8862221833999999,0.677013505,0.2387010438009423,0.0755873653974706,435.33822022877473,0.0,0
23.3,0,19.4102642559,0.4262404528,EARTH,2,0.0656534471,19.4102642559,1.548779695156546,27.7204605156257,1.041026441233179,178.1662069837944,8.0,0.0507357,8.0,AMO,0.0940898154999999,0.0718782229999999,0.5062046011462791,0.539226267268002,45.53829681906719,1.0,0
