model,strategy,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,fit_seconds
M3_XGBoost,baseline,0.9911380429193823,0.00592636789328184,0.9839807228915664,0.008508078525920082,0.987534551885877,0.00627765923621571,0.9990057220022956,0.0007363640628930962,0.9998700616489234,0.00011294023511042485,4.464655637741089
M3_XGBoost,oversample,0.9826514095355593,0.010687539527475365,0.9903903614457832,0.004567088332180388,0.9864644421505154,0.004214808737408664,0.999228248002008,0.0005527949643375904,0.9999067964133449,7.121757722354199e-05,6.701512813568115
M3_XGBoost,class_weight,0.9818401745398413,0.011802272802509065,0.988790361445783,0.003349588275754309,0.9852701773160295,0.005986215120853244,0.9990738291118373,0.0006973062739608156,0.9998773405781239,0.00010903377841687375,4.2849814891815186
M2_DecisionTree,baseline,0.9879424854601053,0.003920438427386782,0.981564658634538,0.015970851337675198,0.984680516096795,0.007794190098558551,0.9876354229656522,0.008270249436647632,0.9945587303182168,0.00533044440142916,1.8872981071472168
M2_DecisionTree,oversample,0.9718354665874287,0.011175881479293954,0.988783935742972,0.008219166865101837,0.9801744299848941,0.004568194346282987,0.9858376454099798,0.007662256331114687,0.9959471821172873,0.0033731188541106186,2.4998226165771484
M2_DecisionTree,class_weight,0.9561126487048577,0.010065394778574085,0.9927967871485943,0.005212902147635784,0.9740896844956464,0.006514936368883447,0.9925861169354929,0.006397189585472944,0.9970289635402698,0.003080620266081102,1.9501562118530273
M4_LinearSVM,baseline,0.8514748965121829,0.026852265815141302,0.8190489959839358,0.02149493157359411,0.8344480397219373,0.007739582693663367,0.9278165525629121,0.004785451900440147,0.9910008048865594,0.0015987258053897946,1.608083724975586
M1_LogisticRegression,baseline,0.8548235696401875,0.026488977160866154,0.8078425702811245,0.021764609295153444,0.8301417488444794,0.0059932179555830046,0.9290130689909605,0.004300918051350473,0.9908776329326703,0.0017616063954962854,1.769986867904663
M1_LogisticRegression,oversample,0.6574714966316512,0.02450619699757619,0.9727614457831326,0.011883276122993188,0.7844034600288327,0.018107098915815474,0.9257962825370468,0.007080632302397961,0.9909558301234181,0.0012335666035061452,2.1771035194396973
M4_LinearSVM,oversample,0.6537238314993443,0.02288677829015615,0.9735614457831325,0.012605132282091886,0.781992452291809,0.016690159902453993,0.9244249422890212,0.008145409128370265,0.9908971270905242,0.0013285045710011583,2.6524438858032227
M4_LinearSVM,class_weight,0.6489691319127757,0.023630443451813254,0.9735614457831325,0.0122837030185948,0.7785349659575351,0.016606096606921847,0.925479864443733,0.006887428604657334,0.990988160966569,0.0014175260629693015,1.9620332717895508
M1_LogisticRegression,class_weight,0.6478003505757147,0.019377990605544678,0.9743646586345381,0.011244196186113452,0.778056721408676,0.014388983748158802,0.9257775675785233,0.006094294880745309,0.9909047883112526,0.0012920917175995607,1.5527398586273193
