threshold,precision,recall,f1,pr_auc,roc_auc,fp,fn,tp,tn,business_cost,meets_objectives
0.55,1.0,0.9807692307692307,0.9902912621359223,0.9998092637186773,0.9999789136302295,0,6,306,2888,6000,True
0.56,1.0,0.9775641025641025,0.9886547811993517,0.9998092637186773,0.9999789136302295,0,7,305,2888,7000,True
0.57,1.0,0.9775641025641025,0.9886547811993517,0.9998092637186773,0.9999789136302295,0,7,305,2888,7000,True
0.58,1.0,0.9775641025641025,0.9886547811993517,0.9998092637186773,0.9999789136302295,0,7,305,2888,7000,True
0.59,1.0,0.9775641025641025,0.9886547811993517,0.9998092637186773,0.9999789136302295,0,7,305,2888,7000,True
0.6,1.0,0.9775641025641025,0.9886547811993517,0.9998092637186773,0.9999789136302295,0,7,305,2888,7000,True
0.61,1.0,0.9775641025641025,0.9886547811993517,0.9998092637186773,0.9999789136302295,0,7,305,2888,7000,True
0.62,1.0,0.9775641025641025,0.9886547811993517,0.9998092637186773,0.9999789136302295,0,7,305,2888,7000,True
0.63,1.0,0.9743589743589743,0.987012987012987,0.9998092637186773,0.9999789136302295,0,8,304,2888,8000,True
0.64,1.0,0.9743589743589743,0.987012987012987,0.9998092637186773,0.9999789136302295,0,8,304,2888,8000,True
0.65,1.0,0.9743589743589743,0.987012987012987,0.9998092637186773,0.9999789136302295,0,8,304,2888,8000,True
0.66,1.0,0.9743589743589743,0.987012987012987,0.9998092637186773,0.9999789136302295,0,8,304,2888,8000,True
0.67,1.0,0.9743589743589743,0.987012987012987,0.9998092637186773,0.9999789136302295,0,8,304,2888,8000,True
0.68,1.0,0.9743589743589743,0.987012987012987,0.9998092637186773,0.9999789136302295,0,8,304,2888,8000,True
0.69,1.0,0.9743589743589743,0.987012987012987,0.9998092637186773,0.9999789136302295,0,8,304,2888,8000,True
0.7,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.71,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.72,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.73,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.74,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.75,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.76,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.77,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.78,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.79,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.8,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.81,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.82,1.0,0.9711538461538461,0.9853658536585366,0.9998092637186773,0.9999789136302295,0,9,303,2888,9000,True
0.83,1.0,0.967948717948718,0.9837133550488599,0.9998092637186773,0.9999789136302295,0,10,302,2888,10000,True
0.84,1.0,0.967948717948718,0.9837133550488599,0.9998092637186773,0.9999789136302295,0,10,302,2888,10000,True
0.85,1.0,0.967948717948718,0.9837133550488599,0.9998092637186773,0.9999789136302295,0,10,302,2888,10000,True
0.86,1.0,0.9647435897435898,0.9820554649265906,0.9998092637186773,0.9999789136302295,0,11,301,2888,11000,True
0.87,1.0,0.9647435897435898,0.9820554649265906,0.9998092637186773,0.9999789136302295,0,11,301,2888,11000,True
0.88,1.0,0.9647435897435898,0.9820554649265906,0.9998092637186773,0.9999789136302295,0,11,301,2888,11000,True
0.89,1.0,0.9647435897435898,0.9820554649265906,0.9998092637186773,0.9999789136302295,0,11,301,2888,11000,True
0.9,1.0,0.9647435897435898,0.9820554649265906,0.9998092637186773,0.9999789136302295,0,11,301,2888,11000,True
