mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__scale_pos_weight,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.389894390106201,0.24028113040775448,0.063238525390625,0.02516565446936649,0.9,1,100,4,0.1,0.9,"{'model__subsample': 0.9, 'model__scale_pos_weight': 1, 'model__n_estimators': 100, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9798387096774194,0.9859719438877755,0.9940357852882704,0.9900199600798403,0.993963782696177,0.9887660363258964,0.0053640145390981995,1
2.571448564529419,0.14173617020118465,0.11270670890808106,0.04439568236062012,0.8,1,200,5,0.1,0.9,"{'model__subsample': 0.8, 'model__scale_pos_weight': 1, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9818181818181818,0.9899799599198397,0.9960159362549801,0.9860279441117764,0.9899396378269618,0.9887563319863479,0.004715535183186036,2
2.944653129577637,0.1333348626158784,0.08079700469970703,0.015438285433586904,0.9,5,200,5,0.05,0.8,"{'model__subsample': 0.9, 'model__scale_pos_weight': 5, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.9799196787148594,0.9880478087649402,0.9940357852882704,0.9880478087649402,0.9899396378269618,0.9879981438719945,0.004593235137611249,3
4.645421504974365,0.9637309538572381,0.13598217964172363,0.05307267643456507,0.8,1,300,5,0.03,0.8,"{'model__subsample': 0.8, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.9778672032193159,0.9899799599198397,0.9940357852882704,0.988,0.9899396378269618,0.9879645172508775,0.0054181254267739246,4
1.9357690811157227,0.42227057822992053,0.05838589668273926,0.005163910516526666,0.9,9,100,5,0.1,1.0,"{'model__subsample': 0.9, 'model__scale_pos_weight': 9, 'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.9819639278557114,0.9860279441117764,0.9900990099009901,0.9900199600798403,0.9899396378269618,0.9876100959550561,0.003219047117530264,5
1.94449725151062,0.47850690582617517,0.08237247467041016,0.02898325545604257,0.8,1,100,3,0.05,0.8,"{'model__subsample': 0.8, 'model__scale_pos_weight': 1, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.9778672032193159,0.9879518072289156,0.9920318725099602,0.9900199600798403,0.98989898989899,0.9875539665874044,0.005012455713784529,6
4.679297065734863,0.22710430856718655,0.10106129646301269,0.02135217865332644,0.8,9,300,5,0.03,0.8,"{'model__subsample': 0.8, 'model__scale_pos_weight': 9, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.9799196787148594,0.9860834990059643,0.9900990099009901,0.9880478087649402,0.9919678714859438,0.9872235735745395,0.004149759282943891,7
4.091124534606934,0.6673885166891709,0.08657565116882324,0.008266328820454251,0.9,9,300,4,0.05,0.8,"{'model__subsample': 0.9, 'model__scale_pos_weight': 9, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.9779559118236473,0.9880478087649402,0.9920634920634921,0.9880478087649402,0.9899396378269618,0.9872109318487963,0.004858997809507294,8
3.1211647510528566,0.5638631475612486,0.10253534317016602,0.019515253666765552,1.0,1,300,3,0.05,0.9,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.9}",0.9759036144578314,0.9859719438877755,0.996,0.988,0.98989898989899,0.9871549096489194,0.0065493637692242345,9
3.1178961277008055,0.38745059700158313,0.1342989444732666,0.04296913618429332,1.0,5,300,3,0.03,0.9,"{'model__subsample': 1.0, 'model__scale_pos_weight': 5, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.9}",0.976,0.9880478087649402,0.9881422924901185,0.9880478087649402,0.993963782696177,0.9868403385432352,0.005879922602967595,10
